Wavelength,IR,Red,Orange,Yellow,Green,Blue,Pink,UV
382.365,31.07,-80.4,-6.91,223.93,13.32,0.49,20.72,2189.96
382.581,-43.9,-104.07,-123.31,-42.42,-0.49,43.9,-60.17,2186.01
382.797,145.5,49.82,257.47,168.69,-41.92,63.63,115.42,2405.01
383.013,271.77,65.6,310.74,440.95,-4.44,32.06,77.93,2677.27
383.229,98.15,57.71,125.28,75.96,-61.65,6.41,73.99,2844.97
383.445,84.34,-11.34,243.66,371.9,31.07,79.41,91.74,2900.22
383.661,-166.22,-58.69,-263.39,-251.55,-53.76,-17.26,68.07,3000.83
383.876,484.85,195.81,608.65,450.82,50.8,99.14,182.5,3336.23
384.092,-138.6,-17.26,-219.98,-178.55,7.4,20.22,6.91,3527.61
384.308,66.59,69.55,164.74,281.14,64.61,34.03,111.47,3689.39
384.524,-32.06,20.22,-245.63,-174.6,76.45,79.41,16.77,3894.57
384.74,214.56,32.06,166.71,18.74,88.29,-17.26,12.82,4229.97
384.955,-99.14,-98.15,-281.14,-186.44,-47.84,89.28,-20.72,4500.27
385.171,62.64,20.22,-28.61,32.55,36.99,-1.48,30.58,4721.23
385.387,248.1,-27.13,334.41,348.22,52.78,63.63,105.55,4794.23
385.603,214.56,150.44,298.9,216.04,19.24,0.49,105.55,5346.66
385.818,411.85,140.57,362.03,356.11,29.1,57.71,119.36,5620.89
386.034,240.2,110.98,146.98,628.38,52.78,-11.34,60.17,5622.87
386.25,226.39,47.84,60.17,-127.25,23.18,81.38,26.63,6297.61
386.465,133.67,103.09,150.93,97.66,27.13,4.44,95.69,6613.28
386.681,64.61,26.14,46.36,154.88,11.34,-27.13,-38.47,6936.84
386.897,-37.98,47.84,-68.07,263.39,-36.01,8.38,73.99,7524.78
387.112,106.05,14.3,72.01,150.93,11.34,53.76,28.61,7757.58
387.328,15.29,22.2,56.23,172.63,5.43,63.63,40.45,8430.35
387.543,96.18,34.03,46.36,265.36,-99.14,-29.1,46.36,8552.68
387.759,186.94,-33.05,-32.55,182.5,62.64,45.87,133.17,9274.77
387.975,175.1,37.98,111.47,36.5,-0.49,4.44,28.61,9935.7
388.19,346.74,154.38,535.65,354.14,19.24,14.3,107.52,10541.39
388.406,115.91,-11.34,2.96,192.36,-4.44,-23.18,-40.45,11115.52
388.621,33.05,30.09,-12.82,166.71,3.45,-11.34,-56.23,11819.86
388.837,196.8,71.52,58.2,-16.77,-45.87,65.6,85.82,12595.22
389.052,518.39,268.81,519.87,285.09,-30.09,41.92,190.39,13133.83
389.268,52.78,-23.18,18.74,-139.09,-0.49,57.71,20.72,14384.67
389.483,-67.57,-3.45,-145.01,20.72,-39.95,-19.24,30.58,15313.93
389.699,-37.98,16.28,-172.63,-139.09,23.18,-48.83,-32.55,16835.06
389.914,64.61,-44.88,-77.93,-20.72,17.26,47.84,50.31,17308.56
390.129,184.96,22.2,251.55,409.38,-18.25,-46.86,66.09,18435.11
390.345,-130.71,-119.86,-125.28,-129.23,21.21,43.9,12.82,19557.71
390.56,354.64,16.28,237.74,367.95,17.26,34.03,105.55,20048.97
390.776,285.58,211.6,66.09,261.41,-14.3,-5.43,81.88,20751.34
390.991,281.64,49.82,354.14,474.49,60.67,4.44,202.23,22309.96
391.206,346.74,-19.24,160.79,346.25,7.4,47.84,52.28,23570.66
391.422,224.42,8.38,212.09,28.61,15.29,-25.15,79.9,25537.68
391.637,147.48,97.17,184.47,340.33,-10.36,107.03,162.77,27045
391.852,242.18,67.57,162.77,291.01,56.72,99.14,40.45,27411.97
392.068,386.2,140.57,508.03,464.63,15.29,-21.21,107.52,30089.24
392.283,182.99,8.38,206.17,389.65,1.48,83.36,95.69,31336.14
392.498,78.42,10.36,-44.39,4.93,-34.03,45.87,14.8,32188.44
392.713,212.58,97.17,257.47,346.25,-99.14,65.6,48.34,33206.48
392.929,-16.28,28.11,-66.09,-48.34,40.94,-29.1,-16.77,35942.94
393.144,-53.76,-15.29,-125.28,-285.09,-2.47,-23.18,-18.74,38190.11
393.359,119.86,-29.1,133.17,150.93,-41.92,22.2,77.93,39287.07
393.574,175.1,-40.94,119.36,304.82,-36.01,10.36,70.04,42041.28
393.789,25.15,14.3,-54.26,-79.9,-43.9,-11.34,10.85,42499
394.004,52.78,-98.15,-42.42,-103.58,29.1,79.41,38.47,43889.92
394.22,226.39,85.33,255.5,283.12,46.86,-15.29,115.42,45882.59
394.435,-18.25,-60.67,-273.25,-308.76,54.75,73.49,-12.82,47512.23
394.65,108.02,103.09,22.69,83.85,-39.95,75.46,105.55,47342.56
394.865,648.6,87.3,717.16,314.68,74.48,34.03,245.63,49789
395.08,98.15,20.22,131.2,58.2,-51.79,20.22,30.58,51537.02
395.295,-8.38,-7.4,-89.77,-20.72,-22.2,-106.05,20.72,53137.07
395.51,398.04,231.33,292.98,618.52,68.56,28.11,170.66,54997.55
395.725,228.37,93.22,200.25,237.74,40.94,-9.37,-18.74,54703.58
395.94,119.86,6.41,141.06,212.09,15.29,20.22,50.31,56794.9
396.155,-51.79,12.33,-117.39,-180.52,-24.17,-60.67,38.47,56489.09
396.37,104.07,-52.78,182.5,486.33,-14.3,30.09,170.66,57471.61
396.585,271.77,41.92,231.82,-121.34,7.4,136.63,127.25,59864.78
396.8,163.26,20.22,158.82,141.06,-6.41,65.6,32.55,58850.69
397.015,186.94,-7.4,117.39,212.09,-34.03,-25.15,103.58,57832.66
397.23,-20.22,-19.24,89.77,156.85,-41.92,-35.02,-12.82,60204.13
397.445,48.83,22.2,42.42,52.28,-41.92,-64.61,8.88,59247.25
397.66,181.02,101.11,261.41,245.63,17.26,47.84,89.77,59983.16
397.875,346.74,158.33,504.09,259.44,56.72,39.95,38.47,57049.4
398.09,559.82,191.87,843.43,610.62,-16.28,18.25,192.36,58896.07
398.305,386.2,213.57,419.25,362.03,3.45,-33.05,139.09,55638.76
398.519,143.53,83.36,178.55,115.42,54.75,-29.1,73.99,55467.11
398.734,447.36,91.25,314.68,484.36,-22.2,71.52,115.42,53713.17
398.949,400.01,105.06,377.82,251.55,92.23,146.49,109.5,54861.42
399.164,186.94,45.87,219.98,123.31,-10.36,8.38,131.2,52008.55
399.379,372.39,164.25,330.47,362.03,27.13,73.49,182.5,51462.05
399.593,13.32,130.71,-62.15,170.66,-2.47,-50.8,32.55,49043.23
399.808,15.29,-27.13,-52.28,-54.26,84.34,79.41,24.66,48593.4
400.023,-12.33,-52.78,-135.15,-210.12,-47.84,-48.83,-36.5,44799.45
400.238,421.71,103.09,618.52,632.33,15.29,39.95,348.22,44434.45
400.452,84.34,39.95,-4.93,172.63,3.45,36.01,101.61,42629.22
400.667,236.26,67.57,267.33,364.01,-0.49,-17.26,34.53,42197.15
400.882,293.47,83.36,360.06,219.98,35.02,47.84,101.61,40054.54
401.097,370.42,109,275.22,379.79,80.4,37.98,233.79,39212.09
401.311,334.91,69.55,356.11,401.49,1.48,32.06,148.96,38413.06
401.526,-8.38,41.92,-66.09,42.42,-87.3,30.09,73.99,35400.38
401.74,68.56,126.76,66.09,-135.15,5.43,-9.37,72.01,34520.45
401.955,-235.27,-169.18,-381.76,-577.08,-36.01,-78.42,-32.55,32218.04
402.17,-97.17,32.06,-95.69,22.69,-10.36,18.25,-2.96,31095.44
402.384,413.82,154.38,476.46,634.3,5.43,118.87,54.26,30454.23
402.599,218.5,22.2,135.15,44.39,52.78,49.82,56.23,29414.5
402.813,-87.3,-56.72,-235.77,-115.42,-75.46,41.92,30.58,27163.38
403.028,9.37,-42.91,-58.2,66.09,11.34,-15.29,2.96,25829.67
403.243,252.04,45.87,259.44,598.79,31.07,28.11,95.69,25277.25
403.457,366.47,114.92,438.98,273.25,54.75,12.33,145.01,25188.47
403.672,540.09,268.81,610.62,407.41,86.32,59.68,204.2,25514
403.886,218.5,126.76,109.5,218.01,-4.44,75.46,145.01,24316.43
404.1,44.88,47.84,-121.34,253.52,-43.9,67.57,87.8,22260.63
404.315,317.15,114.92,421.22,251.55,96.18,6.41,208.14,21834.48
404.529,3.45,32.06,-77.93,150.93,33.05,53.76,-6.91,21751.61
404.744,161.29,14.3,91.74,340.33,29.1,26.14,148.96,20828.28
404.958,512.47,235.27,511.98,892.75,58.69,65.6,178.55,20711.88
405.173,390.15,156.36,391.63,2.96,62.64,26.14,160.79,20540.23
405.387,-136.63,-82.37,-129.23,-411.36,1.48,61.65,52.28,19620.84
405.601,240.2,37.98,145.01,310.74,76.45,14.3,145.01,18620.57
405.816,42.91,99.14,111.47,208.14,3.45,-42.91,133.17,18715.27
406.03,171.15,126.76,373.87,184.47,-16.28,32.06,127.25,18592.94
406.244,-47.84,28.11,-152.9,-101.61,52.78,24.17,24.66,17983.31
406.459,145.5,122.82,245.63,294.95,68.56,14.3,119.36,17511.78
406.673,-122.82,-86.32,-156.85,-168.69,35.02,37.98,4.93,17200.05
406.887,145.5,32.06,172.63,166.71,-59.68,26.14,121.34,16975.14
407.102,275.72,-1.48,249.58,127.25,48.83,8.38,129.23,16420.74
407.316,305.31,103.09,403.47,354.14,46.86,51.79,137.12,16795.6
